regiao,estado,municipio,coduf,data,semanaEpi,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Sudeste,SP,Paulicéia,35,2021-06-27,26,556,0,11,0
Sudeste,SP,Paulínia,35,2021-06-27,26,13519,19,243,2
Sudeste,SP,Paulistânia,35,2021-06-27,26,142,3,6,0
Sudeste,SP,Paulo de Faria,35,2021-06-27,26,607,0,22,0
Sudeste,SP,Pederneiras,35,2021-06-27,26,3880,0,75,0
Sudeste,SP,Pedra Bela,35,2021-06-27,26,177,0,4,0
Sudeste,SP,Pedranópolis,35,2021-06-27,26,223,1,5,0
Sudeste,SP,Pedregulho,35,2021-06-27,26,271,0,16,0
Sudeste,SP,Pedreira,35,2021-06-27,26,3503,22,51,0
Sudeste,SP,Pedrinhas Paulista,35,2021-06-27,26,381,-1,4,0
Sudeste,SP,Pedro de Toledo,35,2021-06-27,26,399,0,15,0
Sudeste,SP,Penápolis,35,2021-06-27,26,6054,8,219,0
Sudeste,SP,Pereira Barreto,35,2021-06-27,26,2160,17,71,1
Sudeste,SP,Pereiras,35,2021-06-27,26,1033,-2,20,-1
Sudeste,SP,Peruíbe,35,2021-06-27,26,6109,87,198,1
Sudeste,SP,Piacatu,35,2021-06-27,26,618,1,9,0
Sudeste,SP,Piedade,35,2021-06-27,26,4273,2,125,0
Sudeste,SP,Pilar do Sul,35,2021-06-27,26,2711,0,72,0
Sudeste,SP,Pindamonhangaba,35,2021-06-27,26,11236,7,265,0
Sudeste,SP,Pindorama,35,2021-06-27,26,1208,5,52,0
Sul,SC,Pinhalzinho,42,2021-06-27,26,3255,4,34,0
Sudeste,SP,Piquerobi,35,2021-06-27,26,223,0,3,0
Sudeste,SP,Piquete,35,2021-06-27,26,320,0,12,0
Sudeste,SP,Piracaia,35,2021-06-27,26,2964,6,38,0
Sudeste,SP,Piracicaba,35,2021-06-27,26,55170,183,1135,6
Sudeste,SP,Piraju,35,2021-06-27,26,1724,1,61,0
Sudeste,SP,Pirajuí,35,2021-06-27,26,2070,1,48,0
Sudeste,SP,Pirangi,35,2021-06-27,26,1560,5,58,0
Sudeste,SP,Pirapora do Bom Jesus,35,2021-06-27,26,1404,2,15,0
Sudeste,SP,Pirapozinho,35,2021-06-27,26,2510,4,63,0
Sudeste,SP,Pirassununga,35,2021-06-27,26,8127,0,220,0
Sudeste,SP,Piratininga,35,2021-06-27,26,830,2,30,0
Sul,PR,Pitangueiras,41,2021-06-27,26,361,2,7,0
Sudeste,SP,Platina,35,2021-06-27,26,296,0,10,0
Sudeste,SP,Poá,35,2021-06-27,26,7072,10,336,0
Sudeste,SP,Poloni,35,2021-06-27,26,715,1,14,0
Sudeste,SP,Pompéia,35,2021-06-27,26,882,0,26,0
Sudeste,SP,Pongaí,35,2021-06-27,26,319,1,9,0
Sudeste,SP,Pontal,35,2021-06-27,26,4827,1,150,0
Sudeste,SP,Pontalinda,35,2021-06-27,26,182,0,11,0
Sudeste,SP,Pontes Gestal,35,2021-06-27,26,330,0,8,0
Sudeste,SP,Populina,35,2021-06-27,26,192,0,5,0
Sudeste,SP,Porangaba,35,2021-06-27,26,808,1,18,0
Sudeste,SP,Porto Feliz,35,2021-06-27,26,7248,10,114,0
Sudeste,SP,Porto Ferreira,35,2021-06-27,26,5785,4,128,0
Sudeste,SP,Potim,35,2021-06-27,26,1706,0,37,0
Sudeste,SP,Potirendaba,35,2021-06-27,26,2639,4,66,0
Sudeste,SP,Pracinha,35,2021-06-27,26,173,0,1,0
